         # time          P(Pa)
   0.199715E-04   0.754669E+07
   0.488576E-04   0.680531E+07
   0.778832E-04   0.610677E+07
   0.107049E-03   0.545117E+07
   0.136356E-03   0.485325E+07
   0.165804E-03   0.432840E+07
   0.195395E-03   0.386883E+07
   0.225129E-03   0.347415E+07
   0.255006E-03   0.314376E+07
   0.285028E-03   0.285885E+07
   0.315195E-03   0.260907E+07
   0.345508E-03   0.239376E+07
   0.375968E-03   0.221226E+07
   0.406575E-03   0.204483E+07
   0.437330E-03   0.189777E+07
   0.468233E-03   0.177038E+07
   0.499287E-03   0.166220E+07
   0.530490E-03   0.156213E+07
   0.561844E-03   0.146886E+07
   0.593351E-03   0.138740E+07
   0.625009E-03   0.131746E+07
   0.656821E-03   0.125679E+07
   0.688787E-03   0.119263E+07
   0.720908E-03   0.113608E+07
   0.753184E-03   0.108694E+07
   0.785616E-03   0.104501E+07
   0.818206E-03   0.100310E+07
   0.850953E-03   0.961037E+06
   0.883859E-03   0.924035E+06
   0.916924E-03   0.891965E+06
   0.950150E-03   0.864701E+06
   0.983536E-03   0.833073E+06
   0.101708E-02   0.803740E+06
   0.105080E-02   0.777910E+06
   0.108467E-02   0.755493E+06
   0.111871E-02   0.735742E+06
   0.115291E-02   0.711664E+06
   0.118728E-02   0.690126E+06
   0.122182E-02   0.671066E+06
   0.125652E-02   0.654422E+06
   0.129139E-02   0.638976E+06
   0.132643E-02   0.620645E+06
   0.136164E-02   0.604131E+06
   0.139702E-02   0.589389E+06
   0.143258E-02   0.576374E+06
   0.146830E-02   0.564212E+06
   0.150420E-02   0.549784E+06
   0.154027E-02   0.536661E+06
   0.157652E-02   0.524810E+06
   0.161295E-02   0.514200E+06
   0.164955E-02   0.504802E+06
   0.168632E-02   0.492951E+06
   0.172328E-02   0.482222E+06
   0.176042E-02   0.472408E+06
   0.179773E-02   0.463485E+06
   0.183523E-02   0.455434E+06
   0.187291E-02   0.446266E+06
   0.191078E-02   0.437303E+06
   0.194882E-02   0.428998E+06
   0.198705E-02   0.421333E+06
   0.202547E-02   0.414293E+06
   0.206408E-02   0.407156E+06
   0.210287E-02   0.399550E+06
   0.214185E-02   0.392415E+06
   0.218102E-02   0.385740E+06
   0.222038E-02   0.379515E+06
   0.225993E-02   0.373727E+06
   0.229967E-02   0.367317E+06
   0.233961E-02   0.361126E+06
   0.237974E-02   0.355266E+06
   0.242006E-02   0.349729E+06
   0.246059E-02   0.344507E+06
   0.250131E-02   0.339422E+06
   0.254222E-02   0.334012E+06
   0.258334E-02   0.328841E+06
   0.262466E-02   0.323904E+06
   0.266617E-02   0.319195E+06
   0.270789E-02   0.314708E+06
   0.274981E-02   0.310241E+06
   0.279194E-02   0.305662E+06
   0.283427E-02   0.301253E+06
   0.287681E-02   0.297011E+06
   0.291955E-02   0.292932E+06
   0.296251E-02   0.289012E+06
   0.299270E-02   0.286360E+06
   0.511648E-02   0.167933E+06
   0.598335E-02   0.143291E+06
   0.696941E-02   0.122087E+06
   0.808632E-02   0.103723E+06
   0.934641E-02   0.855976E+05
   0.107614E-01   0.693949E+05
   0.123414E-01   0.556089E+05
   0.140963E-01   0.437828E+05
   0.160356E-01   0.335592E+05
   0.181683E-01   0.251013E+05
   0.205035E-01   0.181516E+05
   0.230517E-01   0.119033E+05
   0.258233E-01   0.623449E+04
   0.288284E-01   0.105534E+04
   0.320766E-01  -0.370217E+04
   0.355766E-01  -0.809068E+04
   0.393364E-01  -0.121515E+05
   0.433626E-01  -0.159173E+05
   0.476606E-01  -0.194140E+05
   0.522340E-01  -0.226620E+05
   0.570848E-01  -0.256776E+05
   0.622130E-01  -0.284730E+05
   0.676163E-01  -0.310550E+05
   0.732903E-01  -0.334349E+05
   0.792279E-01  -0.356173E+05
   0.854197E-01  -0.376053E+05
   0.918534E-01  -0.394007E+05
   0.985142E-01  -0.410043E+05
   0.105385E+00  -0.424163E+05
   0.112446E+00  -0.436363E+05
   0.119674E+00  -0.446638E+05
   0.127046E+00  -0.454979E+05
   0.134535E+00  -0.461381E+05
   0.142114E+00  -0.465838E+05
   0.149754E+00  -0.468349E+05
   0.157425E+00  -0.468917E+05
   0.165098E+00  -0.467546E+05
   0.172742E+00  -0.464250E+05
   0.180328E+00  -0.459041E+05
   0.187827E+00  -0.451941E+05
   0.195213E+00  -0.442970E+05
   0.202458E+00  -0.432156E+05
   0.209541E+00  -0.419524E+05
   0.216438E+00  -0.405103E+05
   0.223131E+00  -0.388918E+05
   0.229602E+00  -0.370994E+05
   0.235838E+00  -0.351351E+05
   0.241827E+00  -0.330007E+05
   0.247560E+00  -0.306970E+05
   0.253030E+00  -0.282243E+05
   0.258233E+00  -0.255821E+05
   0.263168E+00  -0.227689E+05
   0.267834E+00  -0.197823E+05
   0.272235E+00  -0.166189E+05
   0.276373E+00  -0.132746E+05
   0.280254E+00  -0.974419E+04
   0.283886E+00  -0.602223E+04
   0.287275E+00  -0.210282E+04
   0.290432E+00   0.201978E+04
   0.293366E+00   0.635059E+04
   0.296086E+00   0.108932E+05
   0.298604E+00   0.156487E+05
   0.300931E+00   0.206147E+05
   0.303077E+00   0.257836E+05
   0.305054E+00   0.311413E+05
   0.306872E+00   0.366650E+05
   0.308543E+00   0.423214E+05
   0.310078E+00   0.480649E+05
   0.311486E+00   0.538357E+05
   0.312778E+00   0.595596E+05
   0.313963E+00   0.651479E+05
   0.315051E+00   0.704996E+05
   0.316050E+00   0.755055E+05
   0.316969E+00   0.800553E+05
   0.317815E+00   0.840463E+05
   0.318597E+00   0.873946E+05
   0.319320E+00   0.900462E+05
   0.319992E+00   0.919866E+05
   0.320618E+00   0.932473E+05
   0.321204E+00   0.939050E+05
   0.321756E+00   0.940755E+05
   0.322277E+00   0.938996E+05
   0.322773E+00   0.935250E+05
   0.323247E+00   0.930875E+05
   0.323704E+00   0.926933E+05
   0.324146E+00   0.924086E+05
   0.324577E+00   0.922550E+05
   0.325000E+00   0.922127E+05
   0.325417E+00   0.922288E+05
   0.325832E+00   0.922297E+05
   0.326246E+00   0.921327E+05
   0.326662E+00   0.918576E+05
   0.327083E+00   0.913353E+05
   0.327509E+00   0.905125E+05
   0.327944E+00   0.893551E+05
   0.328390E+00   0.878474E+05
   0.328848E+00   0.859908E+05
   0.329320E+00   0.838010E+05
   0.329809E+00   0.813045E+05
   0.330316E+00   0.785356E+05
   0.330843E+00   0.755328E+05
   0.331393E+00   0.723371E+05
   0.331968E+00   0.689890E+05
   0.332569E+00   0.655275E+05
   0.333199E+00   0.619890E+05
   0.333860E+00   0.584062E+05
   0.334554E+00   0.548083E+05
